4107,4653,Open
4126,3321,Open
4099,4031,Open
3863,3074,Open
3827,3404,Open
4439,4648,Open
4499,3135,Open
4050,2928,Open
4115,3971,Open
4178,4751,Open
3956,3155,Open
4151,4631,Open
4148,3179,Open
4547,4458,Open
3730,4613,Open
4558,2944,Open
3788,4695,Open
4799,4452,Open
3638,3375,Open
4335,3157,Open
4551,3580,Open
4540,4705,Open
4348,4585,Open
4128,4571,Open
4495,2910,Open
4395,2914,Open
3808,2923,Open
4591,4500,Open
4202,4691,Open
3715,3911,Open
3666,3041,Open
3696,2897,Open
4112,4703,Open
4374,4851,Open
4534,4697,Open
4527,3009,Open
4574,4020,Open
4362,4730,Open
3683,4336,Open
3764,3367,Open
4524,4349,Open
3872,3267,Open
4044,4424,Open
4515,4685,Open
4277,3007,Open
3700,3000,Open
3656,3216,Open
4303,2823,Open
3604,2987,Open
3632,3576,Open
4587,4212,Open
4360,3528,Open
4638,4620,Open
4863,4183,Open
4797,4606,Open
4309,3432,Open
4585,4158,Open
4240,3032,Open
4584,3300,Open
4127,2976,Open
4605,3812,Open
4573,4744,Open
3921,3223,Open
4028,2953,Open
4511,3647,Open
4137,4364,Open
4685,3732,Open
3648,3200,Open
4048,4783,Open
4449,4671,Open
4691,4348,Open
3772,3327,Open
3657,3093,Open
3804,2941,Open
3646,4702,Open
4301,3184,Open
3776,4643,Open
3874,3063,Open
4068,2994,Open
4119,4367,Open
3819,4487,Open
4700,4683,Open
3844,2912,Open
4447,2864,Open
4844,4734,Open
4320,3915,Open
4242,2928,Open
4232,2925,Open
4792,3903,Open
3890,4847,Open
3912,3535,Open
4127,4419,Open
4423,4310,Open
4687,4718,Open
3769,3287,Open
4099,4319,Open
4122,3839,Open
4245,4239,Open
4703,3719,Open
3784,3465,Open
3776,2848,Open
4175,3670,Open
4447,3002,Open
4703,3020,Open
4584,3804,Open
3872,3035,Open
3762,3559,Open
4197,3263,Open
4437,2906,Open
4583,4767,Open
4703,4658,Open
4590,4664,Open
4234,3275,Open
4295,4713,Open
3920,3105,Open
4415,2984,Open
4584,4820,Open
4112,4863,Open
4819,3791,Open
3808,3327,Open
4193,4631,Open
4727,4734,Open
4668,3391,Open
4496,4452,Open
4669,4679,Open
4272,3045,Open
4619,4478,Open
4608,3067,Open
3876,4264,Open
4121,4831,Open
3608,2983,Open
4706,2964,Open
4281,4050,Open
4540,2970,Open
4210,2931,Open
4513,3528,Open
3625,2933,Open
3990,3739,Open
3706,2864,Open
4535,2903,Open
3776,3040,Open
4126,2955,Open
4441,4388,Open
4266,4856,Open
4208,2968,Open
4568,4133,Open
4431,4687,Open
3757,3825,Open
4449,4361,Open
3960,3344,Open
4811,3636,Open
4411,2966,Open
4686,4680,Open
4355,4613,Open
3720,2931,Open
3792,2915,Open
4357,4461,Open
4650,4200,Open
4422,4436,Open
4319,2919,Open
3772,4751,Open
4166,3264,Open
4169,3569,Open
3672,3239,Open
4304,2948,Open
4543,4476,Open
3744,3288,Open
4591,4141,Open
4509,4606,Open
3640,4515,Open
4209,2981,Open
4083,4786,Open
3761,2927,Open
4554,3041,Open
4647,3280,Open
4184,3168,Open
4380,4687,Open
4130,4134,Open
4157,2864,Open
3729,4201,Open
4572,4757,Open
3766,4655,Open
4333,4529,Open
4647,4447,Open
3720,2967,Open
4635,4479,Open
3729,3183,Open
4777,4173,Open
3752,2831,Open
3752,4327,Open
4523,4241,Open
4129,4431,Open
3712,3355,Open
4579,3071,Open
4146,3311,Open
3716,2895,Open
4615,3048,Open
4082,4191,Open
3728,4108,Open
4739,3056,Open
4423,4291,Open
4491,2912,Open
3657,2912,Open
4679,3434,Open
4142,3031,Open
4055,4591,Open
4019,3337,Open
3722,4340,Open
3805,4343,Open
4488,2986,Open
4104,3712,Open
4191,3168,Open
4369,2870,Open
4437,4718,Open
4383,4438,Open
3728,4375,Open
3787,4236,Open
4414,3599,Open
3976,3051,Open
4863,4800,Open
4148,2975,Open
4530,2916,Open
4591,4694,Open
4099,4646,Open
4320,4259,Open
3707,4800,Open
3704,3031,Open
4672,3806,Open
4783,2993,Open
3600,4636,Open
4483,3176,Open
3720,3111,Open
4136,4698,Open
4527,3065,Open
4274,4463,Open
4676,3252,Open
4116,2924,Open
4376,4687,Open
4367,3689,Open
4300,4787,Open
3760,3831,Open
4312,4591,Open
3764,4823,Open
3620,4127,Open
4103,4279,Open
3646,4380,Open
3770,4487,Open
4254,4182,Open
4239,3387,Open
4112,3413,Open
4456,4317,Open
4619,4614,Open
3736,4349,Open
4122,4772,Open
4098,4692,Open
3789,3044,Open
4016,2931,Open
3880,3323,Open
4619,4656,Open
3720,3221,Open
4238,3070,Open
4517,4207,Open
3721,2900,Open
4603,4809,Open
4565,4544,Open
4572,4383,Open
3738,3158,Open
3600,4183,Open
4600,4447,Open
3772,3992,Open
4255,4615,Open
